"","parameters","variable","importance"
"41","BTM:enriched.in.B.cells.V.M47.","four_states",0.236878071207429
"42","BTM:enriched.in.myeloid.cells.","four_states",0.0590948096473704
"43","BTM:extracellular.matrix.II.M2","four_states",0.175848680906931
"44","BTM:growth.factor.induced.enri","four_states",NA
"45","BTM:integrin.mediated.leukocyt","four_states",0.289278862050206
"46","BTM:Naive.B.cell.surface.signa","four_states",0.897520116789127
"47","BTM:phosphatidylinositol.signa","four_states",0.330637037354127
"48","BTM:platelet.activation.actin.","four_states",0.103113843123519
"49","BTM:proinflammatory.dendritic.","four_states",0.780835686684927
"50","BTM:putative.targets.of.PAX3.M","four_states",0.0808475012499488
"51","BTM:TBA.M148.","four_states",0.233045940674674
"52","BTM:TBA.M186.","four_states",0.21967012837704
"53","BTM:TBA.M205.","four_states",0.185598785084033
"54","BTM:TBA.M242.","four_states",0.223929139624196
"55","BTM:TBA.M248.","four_states",0.0832168832039646
"56","BTM:transcription.regulation.i","four_states",0.163561414256057
"57","BTM:translation.initiation.fac","four_states",0.0587580427202316
"58","Colesterolo","four_states",0.124587893150752
"59","Glucosio","four_states",0.120406993449718
"60","IP.10","four_states",0.841248316516156
"61","lung_pos_cells","four_states",0.565095481506148
"62","Proteine.Totali","four_states",0.692280718173446
"63","seg10BTVPCRcopiesper1ml_new","four_states",1.20830741163779
"64","BTM:combine(RIG.1.like.recepto","four_states",1.32988160226711
"65","BTM:TBA.M72.1.","four_states",0.421363126939398
"66","IFN_y","four_states",0.664966958900341
"67","BTM:TBA.M203.","four_states",0.357674195825482
"68","BTM:T.cell.activation.II.M7.3.","four_states",0.428712990224848
"69","BTM:mismatch.repair.II.M22.1.","four_states",0.352504558190215
"70","BTM:enriched.in.B.cells.IV.M47","four_states",0.534234646911809
"71","BTM:activated.dendritic.cells.","clinical",0.282569618867454
"72","BTM:B.cell.surface.signature.S","clinical",0.215145805513076
"73","BTM:combine(innate.activation.","clinical",0.497592753170496
"74","BTM:combine(TBA.M137.TBA.M180.","clinical",0.423165012412611
"75","BTM:DC.surface.signature.S5.","clinical",0.313995952244959
"76","BTM:enriched.in.B.cells.V.M47.","clinical",0.143681204802795
"77","BTM:enriched.in.myeloid.cells.","clinical",0.235018739389986
"78","BTM:extracellular.matrix.II.M2","clinical",NA
"79","BTM:growth.factor.induced.enri","clinical",0.298755185208969
"80","BTM:integrin.mediated.leukocyt","clinical",0.286817234659848
"81","BTM:Naive.B.cell.surface.signa","clinical",0.216920601227766
"82","BTM:phosphatidylinositol.signa","clinical",0.248052076724587
"83","BTM:platelet.activation.actin.","clinical",0.234961464249434
"84","BTM:proinflammatory.dendritic.","clinical",0.720151377850841
"85","BTM:putative.targets.of.PAX3.M","clinical",0.345657043974944
"86","BTM:TBA.M148.","clinical",0.190354932944241
"87","BTM:TBA.M186.","clinical",0.26370486241218
"88","BTM:TBA.M205.","clinical",0.18318360259545
"89","BTM:TBA.M242.","clinical",0.24531165343503
"90","BTM:TBA.M248.","clinical",0.198774085806101
"91","BTM:transcription.regulation.i","clinical",NA
"92","BTM:translation.initiation.fac","clinical",0.717096176443962
"93","Colesterolo","clinical",0.16622465554805
"94","Glucosio","clinical",0.295693756616967
"95","IP.10","clinical",0.256584810739572
"96","lung_pos_cells","clinical",0.168224339239029
"97","Proteine.Totali","clinical",0.208688752652023
"98","seg10BTVPCRcopiesper1ml_new","clinical",0.758947992576084
"99","BTM:combine(RIG.1.like.recepto","clinical",0.309827999026931
"100","BTM:TBA.M72.1.","clinical",NA
"101","IFN_y","clinical",0.546261971219103
"102","BTM:TBA.M203.","clinical",0.113277914975658
"103","BTM:T.cell.activation.II.M7.3.","clinical",0.200051210762667
"104","BTM:mismatch.repair.II.M22.1.","clinical",0.0858711072045104
"105","BTM:enriched.in.B.cells.IV.M47","clinical",NA
