"sheep_ID","cow_ID","gene_name","gene_name2"
"ENSOARG00000007459","ENSBTAG00000000313","NUDT13","NUDT13"
"ENSOARG00000009334","ENSBTAG00000000320","UBAP1","UBAP1"
"ENSOARG00000013087","ENSBTAG00000000330","ALDH16A1","ALDH16A1"
"ENSOARG00000008020","ENSBTAG00000000332","ERF","ERF"
"ENSOARG00000018364","ENSBTAG00000000355","OXLD1","OXLD1"
"ENSOARG00000018332","ENSBTAG00000000356","CCDC137","CCDC137"
"ENSOARG00000003638","ENSBTAG00000000359","EIF3J","EIF3J"
"ENSOARG00000003712","ENSBTAG00000000362","SPG11","SPG11"
"ENSOARG00000005347","ENSBTAG00000000363","BDP1","BDP1"
"ENSOARG00000005997","ENSBTAG00000000365","TDP2","TDP2"
"ENSOARG00000018151","ENSBTAG00000000371","DIS3L","DIS3L"
"ENSOARG00000012224","ENSBTAG00000000377","BMX","BMX"
"ENSOARG00000006411","ENSBTAG00000000382","MED27","MED27"
"ENSOARG00000000213","ENSBTAG00000000389","ZNF212","ZNF212"
"ENSOARG00000014364","ENSBTAG00000000396","PIM1","PIM1"
"ENSOARG00000006137","ENSBTAG00000000404","NAXE","NAXE"
"ENSOARG00000008543","ENSBTAG00000000405","VKORC1","VKORC1"
"ENSOARG00000006123","ENSBTAG00000000406","GPATCH4","GPATCH4"
"ENSOARG00000010098","ENSBTAG00000000409","CDC40","CDC40"
"ENSOARG00000006023","ENSBTAG00000000415","ERBIN","ERBIN"
"ENSOARG00000010067","ENSBTAG00000000428","BAK1","BAK1"
"ENSOARG00000015194","ENSBTAG00000000434","CRYAB","CRYAB"
"ENSOARG00000016437","ENSBTAG00000000435","TARBP2","TARBP2"
"ENSOARG00000000569","ENSBTAG00000000436","TNFAIP3","TNFAIP3"
"ENSOARG00000014314","ENSBTAG00000000439","SFSWAP","SFSWAP"
"ENSOARG00000020383","ENSBTAG00000000448","BDH1","BDH1"
"ENSOARG00000019371","ENSBTAG00000000454","TMEM106C","TMEM106C"
"ENSOARG00000002145","ENSBTAG00000000458","DYNC1LI2","DYNC1LI2"
"ENSOARG00000000394","ENSBTAG00000000462","CCDC102A","CCDC102A"
"ENSOARG00000005408","ENSBTAG00000000472","ZNF570","ZNF570"
"ENSOARG00000009861","ENSBTAG00000000480","IFRD2","IFRD2"
"ENSOARG00000009614","ENSBTAG00000000484","HYAL2","HYAL2"
"ENSOARG00000012640","ENSBTAG00000000489","WDR54","WDR54"
"ENSOARG00000007210","ENSBTAG00000000494","PDE4D","PDE4D"
"ENSOARG00000015141","ENSBTAG00000000500","PINX1","PINX1"
"ENSOARG00000014979","ENSBTAG00000000504","GTF2B","GTF2B"
"ENSOARG00000017214","ENSBTAG00000000507","NR4A1","NR4A1"
"ENSOARG00000017204","ENSBTAG00000000510","ATG101","ATG101"
"ENSOARG00000015151","ENSBTAG00000000527","ZFAND3","ZFAND3"
"ENSOARG00000014938","ENSBTAG00000000536","ZNF395","ZNF395"
"ENSOARG00000002292","ENSBTAG00000000545","PPP4R3B","PPP4R3B"
"ENSOARG00000004446","ENSBTAG00000000546","TOB1","TOB1"
"ENSOARG00000011366","ENSBTAG00000000550","ATP5F1D","ATP5F1D"
"ENSOARG00000009500","ENSBTAG00000000551","SMNDC1","SMNDC1"
"ENSOARG00000003459","ENSBTAG00000000562","TOMM20","TOMM20"
"ENSOARG00000020422","ENSBTAG00000000569","HES1","HES1"
"ENSOARG00000010431","ENSBTAG00000000586","CPLANE1","CPLANE1"
"ENSOARG00000010629","ENSBTAG00000000590","POLE","POLE"
"ENSOARG00000015207","ENSBTAG00000000603","JAM2","JAM2"
"ENSOARG00000006384","ENSBTAG00000000608","PRCC","PRCC"
"ENSOARG00000012502","ENSBTAG00000000616","GPR161","GPR161"
"ENSOARG00000013512","ENSBTAG00000000638","CDT1","CDT1"
"ENSOARG00000013556","ENSBTAG00000000639","APRT","APRT"
"ENSOARG00000009373","ENSBTAG00000000640","SELENOS","SELENOS"
"ENSOARG00000019752","ENSBTAG00000000647","SELENOO","SELENOO"
"ENSOARG00000014877","ENSBTAG00000000648","ADAMTS5","ADAMTS5"
"ENSOARG00000004215","ENSBTAG00000000656","NFATC1","NFATC1"
"ENSOARG00000000644","ENSBTAG00000000660","FAM83D","FAM83D"
"ENSOARG00000018703","ENSBTAG00000000667","APOL3","APOL3"
"ENSOARG00000006698","ENSBTAG00000000670","RRP9","RRP9"
"ENSOARG00000006651","ENSBTAG00000000671","PARP3","PARP3"
"ENSOARG00000015648","ENSBTAG00000000687","POC1B","POC1B"
"ENSOARG00000014898","ENSBTAG00000000706","ADAMTS1","ADAMTS1"
"ENSOARG00000012106","ENSBTAG00000000710","PIP5K1C","PIP5K1C"
"ENSOARG00000005421","ENSBTAG00000000711","NDRG1","NDRG1"
"ENSOARG00000016812","ENSBTAG00000000713","AGFG2","AGFG2"
"ENSOARG00000001803","ENSBTAG00000000725","USP42","USP42"
"ENSOARG00000010584","ENSBTAG00000000727","RNF169","RNF169"
"ENSOARG00000015167","ENSBTAG00000000735","BCL2A1","BCL2A1"
"ENSOARG00000006261","ENSBTAG00000000736","LRP8","LRP8"
"ENSOARG00000008706","ENSBTAG00000000738","DAPK1","DAPK1"
"ENSOARG00000010351","ENSBTAG00000000744","DCTN6","DCTN6"
"ENSOARG00000015796","ENSBTAG00000000746","KAT2B","KAT2B"
"ENSOARG00000004910","ENSBTAG00000000748","GAR1","GAR1"
"ENSOARG00000007980","ENSBTAG00000000750","MSL2","MSL2"
"ENSOARG00000010988","ENSBTAG00000000753","PIAS4","PIAS4"
"ENSOARG00000010628","ENSBTAG00000000758","PACC1","TMEM206"
"ENSOARG00000009895","ENSBTAG00000000770","PGM2L1","PGM2L1"
"ENSOARG00000007460","ENSBTAG00000000771","DNAJB6","DNAJB6"
"ENSOARG00000016911","ENSBTAG00000000773","TTC9C","TTC9C"
"ENSOARG00000009343","ENSBTAG00000000778","HSP90AB1","HSP90AB1"
"ENSOARG00000001060","ENSBTAG00000000782","KDR","KDR"
"ENSOARG00000018016","ENSBTAG00000000785","PASK","PASK"
"ENSOARG00000000744","ENSBTAG00000000793","LAMC2","LAMC2"
"ENSOARG00000006046","ENSBTAG00000000799","ICA1","ICA1"
"ENSOARG00000003315","ENSBTAG00000000801","ZNF583","ZNF583"
"ENSOARG00000003308","ENSBTAG00000000803","ZNF667","ZNF667"
"ENSOARG00000014098","ENSBTAG00000000806","ATAD1","ATAD1"
"ENSOARG00000014994","ENSBTAG00000000807","TMED3","TMED3"
"ENSOARG00000009936","ENSBTAG00000000813","HOMER3","HOMER3"
"ENSOARG00000012400","ENSBTAG00000000815","EPHA2","EPHA2"
"ENSOARG00000011272","ENSBTAG00000000816","PRDM1","PRDM1"
"ENSOARG00000004304","ENSBTAG00000000817","SYNJ2","SYNJ2"
"ENSOARG00000006793","ENSBTAG00000000827","TAOK1","TAOK1"
"ENSOARG00000017156","ENSBTAG00000000829","SHPK","SHPK"
"ENSOARG00000003605","ENSBTAG00000000830","GPR137B","GPR137B"
"ENSOARG00000017318","ENSBTAG00000000831","CTNS","CTNS"
"ENSOARG00000017404","ENSBTAG00000000833","TAX1BP3","TAX1BP3"
"ENSOARG00000000811","ENSBTAG00000000837","PARP1","PARP1"
"ENSOARG00000011731","ENSBTAG00000000838","CCDC88C","CCDC88C"
"ENSOARG00000019706","ENSBTAG00000000843","NDRG2","NDRG2"
"ENSOARG00000011221","ENSBTAG00000000855","NXN","NXN"
"ENSOARG00000013926","ENSBTAG00000000856","FBXL6","FBXL6"
"ENSOARG00000006461","ENSBTAG00000000868","ZFP1","ZFP1"
"ENSOARG00000017709","ENSBTAG00000000874","CAST","CAST"
"ENSOARG00000000080","ENSBTAG00000000875","CEP131","CEP131"
"ENSOARG00000013632","ENSBTAG00000000878","RB1CC1","RB1CC1"
"ENSOARG00000006104","ENSBTAG00000000892","CGAS","CGAS"
"ENSOARG00000016888","ENSBTAG00000000897","IQGAP2","IQGAP2"
"ENSOARG00000016918","ENSBTAG00000000898","F2RL2","F2RL2"
"ENSOARG00000015578","ENSBTAG00000000900","LRRC8C","LRRC8C"
"ENSOARG00000017339","ENSBTAG00000000902","OGT","OGT"
"ENSOARG00000010405","ENSBTAG00000000917","BMP1","BMP1"
"ENSOARG00000003327","ENSBTAG00000000942","SIPA1L2","SIPA1L2"
"ENSOARG00000016205","ENSBTAG00000000944","LPCAT1","LPCAT1"
"ENSOARG00000018817","ENSBTAG00000000955","RBM41","RBM41"
"ENSOARG00000007148","ENSBTAG00000000957","CDKN2AIP","CDKN2AIP"
"ENSOARG00000001539","ENSBTAG00000000977","CADM1","CADM1"
"ENSOARG00000011179","ENSBTAG00000000988","BRCA2","BRCA2"
"ENSOARG00000017342","ENSBTAG00000000990","PSMA2","PSMA2"
"ENSOARG00000017330","ENSBTAG00000000991","MRPL32","MRPL32"
"ENSOARG00000011029","ENSBTAG00000000993","N4BP2L1","N4BP2L1"
"ENSOARG00000004846","ENSBTAG00000001005","ZNF280B","ZNF280B"
"ENSOARG00000005799","ENSBTAG00000001013","SLC30A5","SLC30A5"
"ENSOARG00000003062","ENSBTAG00000001015","TM9SF4","TM9SF4"
"ENSOARG00000008815","ENSBTAG00000001016","NAA35","NAA35"
"ENSOARG00000005177","ENSBTAG00000001017","SLK","SLK"
"ENSOARG00000017201","ENSBTAG00000001023","ZNF598","ZNF598"
"ENSOARG00000009166","ENSBTAG00000001035","SF1","SF1"
"ENSOARG00000009300","ENSBTAG00000001036","HIBADH","HIBADH"
"ENSOARG00000009440","ENSBTAG00000001037","MAP4K2","MAP4K2"
"ENSOARG00000006740","ENSBTAG00000001038","SNRPB","SNRPB"
"ENSOARG00000019742","ENSBTAG00000001042","MXD1","MXD1"
"ENSOARG00000005996","ENSBTAG00000001050","LDLRAP1","LDLRAP1"
"ENSOARG00000019057","ENSBTAG00000001057","ARFGAP3","ARFGAP3"
"ENSOARG00000006504","ENSBTAG00000001059","IDH3G","IDH3G"
"ENSOARG00000015686","ENSBTAG00000001061","PRKCA","PRKCA"
"ENSOARG00000009789","ENSBTAG00000001063","HOXA4","HOXA4"
"ENSOARG00000015571","ENSBTAG00000001069","TP53","TP53"
"ENSOARG00000017321","ENSBTAG00000001096","PRKRA","PRKRA"
"ENSOARG00000017300","ENSBTAG00000001097","FKBP7","FKBP7"
"ENSOARG00000017288","ENSBTAG00000001098","PLEKHA3","PLEKHA3"
"ENSOARG00000002082","ENSBTAG00000001104","CMTM4","CMTM4"
"ENSOARG00000013603","ENSBTAG00000001107","CACYBP","CACYBP"
"ENSOARG00000011305","ENSBTAG00000001110","SLC16A5","SLC16A5"
"ENSOARG00000009342","ENSBTAG00000001114","PRKD3","PRKD3"
"ENSOARG00000003058","ENSBTAG00000001124","GALC","GALC"
"ENSOARG00000018773","ENSBTAG00000001126","BMP2K","BMP2K"
"ENSOARG00000007167","ENSBTAG00000001133","VWA8","VWA8"
"ENSOARG00000015072","ENSBTAG00000001143","GBP1","GBP1"
"ENSOARG00000001505","ENSBTAG00000001146","HIVEP2","HIVEP2"
"ENSOARG00000013277","ENSBTAG00000001153","TLE2","TLE2"
"ENSOARG00000005371","ENSBTAG00000001156","ST3GAL1","ST3GAL1"
"ENSOARG00000002809","ENSBTAG00000001160","GMEB1","GMEB1"
"ENSOARG00000018772","ENSBTAG00000001164","ACAD10","ACAD10"
"ENSOARG00000005841","ENSBTAG00000001165","AIFM2","AIFM2"
"ENSOARG00000018412","ENSBTAG00000001168","BRAP","BRAP"
"ENSOARG00000011882","ENSBTAG00000001178","USPL1","USPL1"
"ENSOARG00000019765","ENSBTAG00000001179","TEP1","TEP1"
"ENSOARG00000009437","ENSBTAG00000001181","RPS6KC1","RPS6KC1"
"ENSOARG00000015084","ENSBTAG00000001185","KMT5B","KMT5B"
"ENSOARG00000014140","ENSBTAG00000001193","UNC93B1","UNC93B1"
"ENSOARG00000005110","ENSBTAG00000001207","SERPINB8","SERPINB8"
"ENSOARG00000019206","ENSBTAG00000001209","PHLDB2","PHLDB2"
"ENSOARG00000010071","ENSBTAG00000001221","NKX3-1","NKX3-1"
"ENSOARG00000003077","ENSBTAG00000001243","AP3M2","AP3M2"
"ENSOARG00000020213","ENSBTAG00000001246","ATP1A1","ATP1A1"
"ENSOARG00000008849","ENSBTAG00000001257","AGTPBP1","AGTPBP1"
"ENSOARG00000013154","ENSBTAG00000001258","TMEM50B","TMEM50B"
"ENSOARG00000012344","ENSBTAG00000001294","PPP1R15A","PPP1R15A"
"ENSOARG00000006239","ENSBTAG00000001296","TMEM50A","TMEM50A"
"ENSOARG00000012979","ENSBTAG00000001301","LRRC32","LRRC32"
"ENSOARG00000017993","ENSBTAG00000001314","TRMT6","TRMT6"
"ENSOARG00000008351","ENSBTAG00000001324","SLCO2A1","SLCO2A1"
"ENSOARG00000020910","ENSBTAG00000001342","RSL24D1","RSL24D1"
"ENSOARG00000004362","ENSBTAG00000001349","KIF1C","KIF1C"
"ENSOARG00000004243","ENSBTAG00000001352","ENTR1","ENTR1"
"ENSOARG00000003257","ENSBTAG00000001368","LGALS3BP","LGALS3BP"
"ENSOARG00000016589","ENSBTAG00000001393","MTF2","MTF2"
"ENSOARG00000015776","ENSBTAG00000001395","C21orf91","C21orf91"
"ENSOARG00000018604","ENSBTAG00000001405","GLCE","GLCE"
"ENSOARG00000000345","ENSBTAG00000001410","GRAMD1B","GRAMD1B"
"ENSOARG00000000909","ENSBTAG00000001415","THOC6","THOC6"
"ENSOARG00000007550","ENSBTAG00000001420","ABHD12","ABHD12"
"ENSOARG00000005046","ENSBTAG00000001424","MSH6","MSH6"
"ENSOARG00000004937","ENSBTAG00000001425","FBXO11","FBXO11"
"ENSOARG00000014637","ENSBTAG00000001439","HESX1","HESX1"
"ENSOARG00000001146","ENSBTAG00000001446","ABRACL","ABRACL"
"ENSOARG00000018101","ENSBTAG00000001449","SRA1","SRA1"
"ENSOARG00000018153","ENSBTAG00000001450","APBB3","APBB3"
"ENSOARG00000010142","ENSBTAG00000001463","TNKS","TNKS"
"ENSOARG00000021076","ENSBTAG00000001468","SAMD4A","SAMD4A"
"ENSOARG00000000917","ENSBTAG00000001473","ARVCF","ARVCF"
"ENSOARG00000005343","ENSBTAG00000001483","SRGAP2","SRGAP2"
"ENSOARG00000011818","ENSBTAG00000001498","CYTH2","CYTH2"
"ENSOARG00000008066","ENSBTAG00000001500","FIGNL1","FIGNL1"
"ENSOARG00000014418","ENSBTAG00000001505","GRK4","GRK4"
"ENSOARG00000014115","ENSBTAG00000001506","HTT","HTT"
"ENSOARG00000012449","ENSBTAG00000001510","CDK17","CDK17"
"ENSOARG00000020487","ENSBTAG00000001511","BCL6","BCL6"
"ENSOARG00000011996","ENSBTAG00000001514","ASB11","ASB11"
"ENSOARG00000006234","ENSBTAG00000001518","ISG20L2","ISG20L2"
"ENSOARG00000017590","ENSBTAG00000001528","CDK13","CDK13"
"ENSOARG00000001447","ENSBTAG00000001529","NSD3","NSD3"
"ENSOARG00000020654","ENSBTAG00000001539","SAV1","SAV1"
"ENSOARG00000017707","ENSBTAG00000001543","BRI3BP","BRI3BP"
"ENSOARG00000013354","ENSBTAG00000001552","EPC1","EPC1"
"ENSOARG00000020482","ENSBTAG00000001564","PDE4DIP","PDE4DIP"
"ENSOARG00000009485","ENSBTAG00000001567","LRRK1","LRRK1"
"ENSOARG00000015430","ENSBTAG00000001570","CSF2","CSF2"
"ENSOARG00000004601","ENSBTAG00000001573","JMJD1C","JMJD1C"
"ENSOARG00000011440","ENSBTAG00000001574","GPATCH2","GPATCH2"
"ENSOARG00000005297","ENSBTAG00000001575","CALM2","CALM2"
"ENSOARG00000001191","ENSBTAG00000001576","TMEM140","TMEM140"
"ENSOARG00000018976","ENSBTAG00000001578","ADPGK","ADPGK"
"ENSOARG00000003763","ENSBTAG00000001579","AGO2","AGO2"
"ENSOARG00000020754","ENSBTAG00000001586","OTUD7B","OTUD7B"
"ENSOARG00000004196","ENSBTAG00000001589","TM9SF2","TM9SF2"
"ENSOARG00000006609","ENSBTAG00000001592","INSIG1","INSIG1"
"ENSOARG00000007075","ENSBTAG00000001593","OGFOD2","OGFOD2"
"ENSOARG00000018323","ENSBTAG00000001600","DCUN1D4","DCUN1D4"
"ENSOARG00000018832","ENSBTAG00000001602","IL4R","IL4R"
"ENSOARG00000001317","ENSBTAG00000001612","LSM1","LSM1"
"ENSOARG00000001724","ENSBTAG00000001614","ZNF174","ZNF174"
"ENSOARG00000013247","ENSBTAG00000001616","ZNF592","ZNF592"
"ENSOARG00000017517","ENSBTAG00000001619","SERINC5","SERINC5"
"ENSOARG00000009637","ENSBTAG00000001631","KIFC1","KIFC1"
"ENSOARG00000015468","ENSBTAG00000001640","EPB41L1","EPB41L1"
"ENSOARG00000014297","ENSBTAG00000001647","PLEKHJ1","PLEKHJ1"
"ENSOARG00000015495","ENSBTAG00000001649","ZFPM2","ZFPM2"
"ENSOARG00000006348","ENSBTAG00000001651","SYF2","SYF2"
"ENSOARG00000009362","ENSBTAG00000001660","SPTY2D1","SPTY2D1"
"ENSOARG00000003536","ENSBTAG00000001663","PDF","PDF"
"ENSOARG00000003558","ENSBTAG00000001666","NIP7","NIP7"
"ENSOARG00000020155","ENSBTAG00000001673","C2CD5","C2CD5"
"ENSOARG00000010042","ENSBTAG00000001687","STC1","STC1"
"ENSOARG00000020387","ENSBTAG00000001694","TYRO3","TYRO3"
"ENSOARG00000019154","ENSBTAG00000001708","TTLL12","TTLL12"
"ENSOARG00000015016","ENSBTAG00000001710","CMTM8","CMTM8"
"ENSOARG00000019052","ENSBTAG00000001717","AURKB","AURKB"
"ENSOARG00000004562","ENSBTAG00000001724","ZADH2","ZADH2"
"ENSOARG00000016611","ENSBTAG00000001725","CXCL10","CXCL10"
"ENSOARG00000013213","ENSBTAG00000001729","DUSP10","DUSP10"
"ENSOARG00000008732","ENSBTAG00000001737","TUT7","TUT7"
"ENSOARG00000009034","ENSBTAG00000001744","BET1L","BET1L"
"ENSOARG00000020290","ENSBTAG00000001748","TRIM45","TRIM45"
"ENSOARG00000001591","ENSBTAG00000001752","FUCA2","FUCA2"
"ENSOARG00000004375","ENSBTAG00000001754","AHCYL2","AHCYL2"
"ENSOARG00000009113","ENSBTAG00000001763","NR2C2AP","NR2C2AP"
"ENSOARG00000006000","ENSBTAG00000001767","B4GALT7","B4GALT7"
"ENSOARG00000013189","ENSBTAG00000001768","TXLNG","TXLNG"
"ENSOARG00000014368","ENSBTAG00000001771","DYRK1A","DYRK1A"
"ENSOARG00000008220","ENSBTAG00000001773","CYREN","CYREN"
"ENSOARG00000017135","ENSBTAG00000001774","SPRY2","SPRY2"
"ENSOARG00000005899","ENSBTAG00000001778","NFKBIB","NFKBIB"
"ENSOARG00000000957","ENSBTAG00000001786","HYKK","HYKK"
"ENSOARG00000007982","ENSBTAG00000001790","SAFB2","SAFB2"
"ENSOARG00000007562","ENSBTAG00000001792","MICOS13","MICOS13"
"ENSOARG00000004110","ENSBTAG00000001808","LACTB2","LACTB2"
"ENSOARG00000013617","ENSBTAG00000001814","PLXND1","PLXND1"
"ENSOARG00000018429","ENSBTAG00000001815","ARHGEF5","ARHGEF5"
"ENSOARG00000002482","ENSBTAG00000001826","SASH1","SASH1"
"ENSOARG00000007871","ENSBTAG00000001828","SCRN2","SCRN2"
"ENSOARG00000019963","ENSBTAG00000001835","GJA1","GJA1"
"ENSOARG00000018118","ENSBTAG00000001839","OCIAD2","OCIAD2"
"ENSOARG00000012669","ENSBTAG00000001840","INO80B","INO80B"
"ENSOARG00000012679","ENSBTAG00000001843","WBP1","WBP1"
"ENSOARG00000012692","ENSBTAG00000001844","MOGS","MOGS"
"ENSOARG00000016943","ENSBTAG00000001861","SESTD1","SESTD1"
"ENSOARG00000010939","ENSBTAG00000001864","NR4A3","NR4A3"
"ENSOARG00000017906","ENSBTAG00000001868","PCYT2","PCYT2"
"ENSOARG00000018820","ENSBTAG00000001879","PER2","PER2"
"ENSOARG00000011981","ENSBTAG00000001886","FAM122B","FAM122B"
"ENSOARG00000008357","ENSBTAG00000001887","STAM2","STAM2"
"ENSOARG00000005789","ENSBTAG00000001888","MED13L","MED13L"
"ENSOARG00000020282","ENSBTAG00000001890","RUBCN","RUBCN"
"ENSOARG00000016332","ENSBTAG00000001895","PGGT1B","PGGT1B"
"ENSOARG00000014354","ENSBTAG00000001904","ZNF276","ZNF276"
"ENSOARG00000006129","ENSBTAG00000001919","ZNF652","ZNF652"
"ENSOARG00000007771","ENSBTAG00000001941","SEMA4D","SEMA4D"
"ENSOARG00000021022","ENSBTAG00000001942","SNX27","SNX27"
"ENSOARG00000021170","ENSBTAG00000001945","ARG2","ARG2"
"ENSOARG00000021172","ENSBTAG00000001950","RDH11","RDH11"
"ENSOARG00000005188","ENSBTAG00000001961","MAP1B","MAP1B"
"ENSOARG00000017355","ENSBTAG00000001983","SMAGP","SMAGP"
"ENSOARG00000018926","ENSBTAG00000001988","EIF3D","EIF3D"
"ENSOARG00000016048","ENSBTAG00000001999","NKAPD1","NKAPD1"
"ENSOARG00000010247","ENSBTAG00000002002","ATAD2","ATAD2"
"ENSOARG00000020058","ENSBTAG00000002006","THBS1","THBS1"
"ENSOARG00000004089","ENSBTAG00000002020","CREBRF","CREBRF"
"ENSOARG00000004096","ENSBTAG00000002021","BNIP1","BNIP1"
"ENSOARG00000016569","ENSBTAG00000002028","DIPK1A","DIPK1A"
"ENSOARG00000008894","ENSBTAG00000002042","RIC8A","RIC8A"
"ENSOARG00000008832","ENSBTAG00000002044","SIRT3","SIRT3"
"ENSOARG00000008674","ENSBTAG00000002045","PSMD13","PSMD13"
"ENSOARG00000008236","ENSBTAG00000002049","HADH","HADH"
"ENSOARG00000005545","ENSBTAG00000002050","COA7","COA7"
"ENSOARG00000005950","ENSBTAG00000002051","ARAP1","ARAP1"
"ENSOARG00000015634","ENSBTAG00000002056","MARS2","MARS2"
"ENSOARG00000010582","ENSBTAG00000002060","RPL19","RPL19"
"ENSOARG00000008078","ENSBTAG00000002068","TAGLN2","TAGLN2"
"ENSOARG00000018668","ENSBTAG00000002090","CPSF4","CPSF4"
"ENSOARG00000011341","ENSBTAG00000002105","TEX261","TEX261"
"ENSOARG00000016629","ENSBTAG00000002107","FZD1","FZD1"
"ENSOARG00000019169","ENSBTAG00000002115","C20orf96","C20orf96"
"ENSOARG00000019161","ENSBTAG00000002116","ZCCHC3","ZCCHC3"
"ENSOARG00000012849","ENSBTAG00000002121","CDK2AP2","CDK2AP2"
"ENSOARG00000001718","ENSBTAG00000002128","MPPE1","MPPE1"
"ENSOARG00000015505","ENSBTAG00000002129","KLF5","KLF5"
"ENSOARG00000006823","ENSBTAG00000002137","SUGT1","SUGT1"
"ENSOARG00000014352","ENSBTAG00000002144","ADRB2","ADRB2"
"ENSOARG00000009446","ENSBTAG00000002147","PPP4R2","PPP4R2"
"ENSOARG00000018165","ENSBTAG00000002148","RAB3D","RAB3D"
"ENSOARG00000011336","ENSBTAG00000002171","FAM135A","FAM135A"
"ENSOARG00000020014","ENSBTAG00000002179","C15orf41","C15orf41"
"ENSOARG00000009681","ENSBTAG00000002191","RRP12","RRP12"
"ENSOARG00000020863","ENSBTAG00000002194","MYZAP","MYZAP"
"ENSOARG00000016535","ENSBTAG00000002201","NFXL1","NFXL1"
"ENSOARG00000016037","ENSBTAG00000002202","CRAMP1","CRAMP1"
"ENSOARG00000016214","ENSBTAG00000002209","JPT2","JPT2"
"ENSOARG00000016304","ENSBTAG00000002211","MAPK8IP3","MAPK8IP3"
"ENSOARG00000001456","ENSBTAG00000002215","GFPT2","GFPT2"
"ENSOARG00000003205","ENSBTAG00000002219","ATAD3A","ATAD3A"
"ENSOARG00000008530","ENSBTAG00000002224","UHRF1","UHRF1"
"ENSOARG00000005994","ENSBTAG00000002232","TRPC1","TRPC1"
"ENSOARG00000018900","ENSBTAG00000002233","CPNE2","CPNE2"
